task_id,filename,em,bleu,wbleu,syntax,dataflow,codebleu
11,11.py,0.0,0.0032687659648202873,0.008547890122752144,0.16666666666666666,0.3235294117647059,0.12550318362973625
111,111.py,0.0,0.005145174324020217,0.04253665667561763,0.2,0.5555555555555556,0.20080934663879835
115,115.py,0.0,0.004884387930507875,0.03514847831369806,0.09090909090909091,0.2857142857142857,0.10416406071689563
117,117.py,0.0,0.01014755665665522,0.034469133167290326,0.5384615384615384,0.8095238095238095,0.3481505094523234
140,140.py,0.0,0.01053386130113345,0.025636846094017923,0.41379310344827586,0.35294117647058826,0.20072624682850387
16,16.py,0.0,0.007473180638939024,0.09085832393037023,0.4444444444444444,0.7142857142857143,0.314265415824867
160,160.py,0.0,0.006613519207115596,0.04348296201390993,0.1724137931034483,0.8,0.25562756858111846
162,162.py,0.0,0.00850341379588304,0.03858062268412621,0.13333333333333333,0.5,0.17010434245333564
166,166.py,0.0,0.013189127141136825,0.06229441932089411,0.22580645161290322,0.47619047619047616,0.19437011856635258
170,170.py,0.0,0.007880037991443838,0.03626753513008075,0.5333333333333333,0.5333333333333333,0.2777035599470478
171,171.py,0.0,0.007205335066302803,0.04686670913916292,0.09090909090909091,0.6,0.18624528377863914
18,18.py,0.0,0.007717560918968317,0.009587304097805324,0.23809523809523808,0.18333333333333332,0.10968335911133625
249,249.py,0.0,0.0034170206403382566,0.026084743001221457,0.07142857142857142,0.8,0.2252325837675328
250,250.py,0.0,0.0035494231076641535,0.016922790163931476,0.0625,0.5833333333333334,0.16657638665123226
251,251.py,0.0,0.007843772989359645,0.02118605086401667,0.18181818181818182,0.7,0.22771200141788953
265,265.py,0.0,0.007988739893685173,0.039281465090051315,0.36363636363636365,0.875,0.321476642155025
267,267.py,0.0,0.008243191945517347,0.1977038138188755,0.15384615384615385,0.5,0.21494828990263667
270,270.py,0.0,0.025752340710705337,0.06474023032921296,0.2916666666666667,0.47058823529411764,0.21318686825017566
271,271.py,0.0,0.013438440993016113,0.07422043109521784,0.391304347826087,0.21052631578947367,0.17237238392594864
272,272.py,0.0,0.0062589852960783475,0.0322389403377945,0.16666666666666666,0.5714285714285714,0.19414829093227773
273,273.py,0.0,0.0077426364109627836,0.022108037572889653,0.13333333333333333,0.5,0.16579600182929644
284,284.py,0.0,0.005919382824640357,0.03514847831369806,0.18181818181818182,0.4444444444444444,0.16683262185024117
