experiment,model,avg_codebleu,total_samples,csv_file
EXP_1-1_MBPP_After_GEN_100,codegemma_exp1-1_after_gen_v1_100_mbpp,0.6698840000000000,98,results/experiment_codebleu/EXP_1-1_MBPP_After_GEN_100_codegemma_exp1-1_after_gen_v1_100_mbpp_codebleu.csv
EXP_1-1_MBPP_After_GEN_100,codegemma_exp1-1_after_gen_v2_100_mbpp,0.6307100000000000,69,results/experiment_codebleu/EXP_1-1_MBPP_After_GEN_100_codegemma_exp1-1_after_gen_v2_100_mbpp_codebleu.csv
EXP_1-1_MBPP_After_GEN_100,gemini_exp1-1_after_gen_v1_100_mbpp,0.5611800000000000,100,results/experiment_codebleu/EXP_1-1_MBPP_After_GEN_100_gemini_exp1-1_after_gen_v1_100_mbpp_codebleu.csv
EXP_1-1_MBPP_After_GEN_100,gemini_exp1-1_after_gen_v2_100_mbpp,0.5599450000000000,92,results/experiment_codebleu/EXP_1-1_MBPP_After_GEN_100_gemini_exp1-1_after_gen_v2_100_mbpp_codebleu.csv
EXP_1-1_MBPP_After_GEN_100,qwen14_exp1-1_after_gen_v1_100_mbpp,0.5875980000000000,100,results/experiment_codebleu/EXP_1-1_MBPP_After_GEN_100_qwen14_exp1-1_after_gen_v1_100_mbpp_codebleu.csv
EXP_1-1_MBPP_After_GEN_100,qwen14_exp1-1_after_gen_v2_100_mbpp,0.5818680000000001,100,results/experiment_codebleu/EXP_1-1_MBPP_After_GEN_100_qwen14_exp1-1_after_gen_v2_100_mbpp_codebleu.csv
EXP_1-1_MBPP_With_Comments_100,codegemma_exp1-1_during_gen_v5_100_mbpp,0.24727800000000000,100,results/experiment_codebleu/EXP_1-1_MBPP_With_Comments_100_codegemma_exp1-1_during_gen_v5_100_mbpp_codebleu.csv
EXP_1-1_MBPP_With_Comments_100,codegemma_exp1-1_during_gen_v6_100_mbpp,0.2260490000000000,100,results/experiment_codebleu/EXP_1-1_MBPP_With_Comments_100_codegemma_exp1-1_during_gen_v6_100_mbpp_codebleu.csv
EXP_1-1_MBPP_With_Comments_100,gemini_exp1-1_during_gen_v5_100_mbpp,0.23719299999999999,96,results/experiment_codebleu/EXP_1-1_MBPP_With_Comments_100_gemini_exp1-1_during_gen_v5_100_mbpp_codebleu.csv
EXP_1-1_MBPP_With_Comments_100,gemini_exp1-1_during_gen_v6_100_mbpp,0.2377120000000000,98,results/experiment_codebleu/EXP_1-1_MBPP_With_Comments_100_gemini_exp1-1_during_gen_v6_100_mbpp_codebleu.csv
EXP_1-1_MBPP_With_Comments_100,qwen14_exp1-1_during_gen_v5_100_mbpp,0.26343100000000003,100,results/experiment_codebleu/EXP_1-1_MBPP_With_Comments_100_qwen14_exp1-1_during_gen_v5_100_mbpp_codebleu.csv
