task_id,filename,em,bleu,wbleu,syntax,dataflow,codebleu
11,11.py,0.0,0.007338198700157627,0.01976250168109631,0.25,0.47058823529411764,0.3602941176470588
111,111.py,0.0,0.0022396950058490295,0.04253665667561763,0.13333333333333333,0.8888888888888888,0.5111111111111111
115,115.py,0.0,0.0028101263851395436,0.03514847831369806,0.45454545454545453,0.2857142857142857,0.3701298701298701
117,117.py,0.0,0.040478282235465866,0.08723569105678379,0.5641025641025641,0.8571428571428571,0.7106227106227105
140,140.py,0.0,0.009054811853970416,0.025834828718661867,0.4482758620689655,0.29411764705882354,0.37119675456389456
16,16.py,0.0,0.016809690889630944,0.0775692257967212,0.4444444444444444,0.7142857142857143,0.5793650793650793
160,160.py,0.0,0.003749815886457473,0.04536034503755799,0.3103448275862069,0.75,0.5301724137931034
162,162.py,0.0,0.0036387342198561804,0.02169547848686038,0.06666666666666667,0.6666666666666666,0.36666666666666664
166,166.py,0.0,0.010378884158291345,0.06229441932089411,0.22580645161290322,0.47619047619047616,0.3509984639016897
170,170.py,0.0,0.006369787696039555,0.03626753513008075,0.6,0.8666666666666667,0.7333333333333334
171,171.py,0.0,0.0032284492022662025,0.04686670913916292,0.09090909090909091,0.6,0.34545454545454546
18,18.py,0.0,0.0067470425857470645,0.009525247089199535,0.3333333333333333,0.15,0.24166666666666664
249,249.py,0.0,0.0015572304181716964,0.02864629015880099,0.14285714285714285,0.8,0.4714285714285714
250,250.py,0.0,0.005975676251663788,0.0326834207574637,0.25,0.8333333333333334,0.5416666666666667
251,251.py,0.0,0.008447063994683927,0.02094108425209915,0.18181818181818182,0.7,0.4409090909090909
265,265.py,0.0,0.0037822893157531384,0.039281465090051315,0.2727272727272727,0.75,0.5113636363636364
267,267.py,0.0,0.0018798639730209284,0.10855926040543844,0.07692307692307693,0.5,0.28846153846153844
270,270.py,0.0,0.03167596767729106,0.06474023032921296,0.3333333333333333,0.47058823529411764,0.4019607843137255
271,271.py,0.0,0.006722791268893393,0.01934529902282619,0.17391304347826086,0.3157894736842105,0.2448512585812357
272,272.py,0.0,0.004060359468269582,0.0322389403377945,0.16666666666666666,0.5714285714285714,0.369047619047619
273,273.py,0.0,0.002477851671914089,0.022108037572889653,0.13333333333333333,0.5,0.31666666666666665
284,284.py,0.0,0.003012086632330541,0.03514847831369806,1.0,1.0,1.0
292,292.py,0.0,0.005927305348705561,0.04971987693433304,0.3333333333333333,0.8333333333333334,0.5833333333333334
293,293.py,0.0,0.010687198762008939,0.19355472730798323,0.4117647058823529,0.8181818181818182,0.6149732620320856
305,305.py,0.0,0.0029768520720554015,0.022089591134157885,0.23809523809523808,0.5833333333333334,0.4107142857142857
389,389.py,0.0,0.015391696105813786,0.07364881408787989,0.36363636363636365,0.625,0.4943181818181818
411,411.py,0.0,0.0049811554679751145,0.02736989145562129,0.47619047619047616,0.8333333333333334,0.6547619047619048
413,413.py,0.0,0.012990806323574158,0.02950234363196405,0.3,0.75,0.525
417,417.py,0.0,0.002327479199664437,0.01682845596488031,0.19444444444444445,0.55,0.37222222222222223
419,419.py,0.0,0.0032290850333869447,0.048549177170732344,0.3333333333333333,0.5833333333333334,0.45833333333333337
422,422.py,0.0,0.002129540262747346,0.01508336426652373,0.05263157894736842,0.5,0.2763157894736842
429,429.py,0.0,0.010128952330932188,0.022401521369401368,0.26666666666666666,0.6666666666666666,0.4666666666666667
432,432.py,0.0,0.006409912521492096,0.03459872363114905,0.3,0.5714285714285714,0.4357142857142857
444,444.py,0.0,0.007296927244087925,0.03403726027633586,0.4642857142857143,0.7647058823529411,0.6144957983193278
450,450.py,0.0,0.004781820982618764,0.022894156860669916,0.3076923076923077,0.7,0.5038461538461538
451,451.py,0.0,0.010331208012220438,0.04576318980860576,0.23076923076923078,1.0,0.6153846153846154
454,454.py,0.0,0.01083278567718,0.018064241371664576,0.10526315789473684,0.2857142857142857,0.19548872180451127
455,455.py,0.0,0.003421983513939922,0.015226277779914149,0.0,0.25,0.125
456,456.py,0.0,0.006409912521492096,0.0322389403377945,0.3333333333333333,0.7142857142857143,0.5238095238095238
457,457.py,0.0,0.0027646646087298252,0.0752421768074461,0.125,1.0,0.5625
