task_id,filename,em,bleu,wbleu,syntax,dataflow,codebleu
11,11.py,0.0,0.0036988866350602923,0.009226039768569899,0.1875,0.4117647058823529,0.29963235294117646
111,111.py,0.0,0.004458815748575231,0.04253665667561763,0.2,0.6666666666666666,0.43333333333333335
115,115.py,0.0,0.004157514774097771,0.03514847831369806,0.18181818181818182,0.7142857142857143,0.44805194805194803
117,117.py,0.0,0.051778130347887995,0.08376236619874852,0.5128205128205128,0.7142857142857143,0.6135531135531136
16,16.py,0.0,0.06369028971679541,0.3733154260380496,0.7777777777777778,1.0,0.8888888888888888
160,160.py,0.0,0.0028316261448966453,0.04431688077213499,0.20689655172413793,0.65,0.42844827586206896
162,162.py,0.0,0.004707378393706195,0.020933037724484297,0.2,0.6666666666666666,0.43333333333333335
166,166.py,0.0,0.013434821107964923,0.06467937650855399,0.22580645161290322,0.47619047619047616,0.3509984639016897
170,170.py,0.0,0.003124359578315143,0.01842872229444196,0.13333333333333333,0.4666666666666667,0.3
171,171.py,0.0,0.007678432706586176,0.04686670913916292,0.09090909090909091,0.6,0.34545454545454546
18,18.py,0.0,0.007256230728135222,0.009264032722279061,0.34523809523809523,0.18333333333333332,0.2642857142857143
249,249.py,0.0,0.004089890369035105,0.02864629015880099,0.07142857142857142,0.8,0.4357142857142857
250,250.py,0.0,0.007770091505992114,0.031888897888830835,0.3125,0.8333333333333334,0.5729166666666667
251,251.py,0.0,0.008840994001530048,0.022089591134157885,0.18181818181818182,0.7,0.4409090909090909
265,265.py,0.0,0.007511251053510192,0.039281465090051315,0.36363636363636365,0.875,0.6193181818181819
267,267.py,0.0,0.003043188827799241,0.10855926040543844,0.07692307692307693,0.5,0.28846153846153844
270,270.py,0.0,0.021032824980645435,0.06474023032921296,0.3333333333333333,0.5294117647058824,0.43137254901960786
271,271.py,0.0,0.004183305296447415,0.01934529902282619,0.391304347826087,0.21052631578947367,0.3009153318077803
272,272.py,0.0,0.007094215779738816,0.0322389403377945,0.25,0.5714285714285714,0.4107142857142857
273,273.py,0.0,0.003469194439174961,0.022108037572889653,0.06666666666666667,0.6666666666666666,0.36666666666666664
284,284.py,0.0,0.007293301163414325,0.03514847831369806,0.18181818181818182,0.4444444444444444,0.31313131313131315
292,292.py,0.0,0.006414921514603761,0.04971987693433304,0.4444444444444444,1.0,0.7222222222222222
293,293.py,0.0,0.022797230914240133,0.19355472730798323,0.4117647058823529,0.8181818181818182,0.6149732620320856
305,305.py,0.0,0.0030755470738717794,0.022089591134157885,0.23809523809523808,0.6666666666666666,0.45238095238095233
310,310.py,0.0,0.005965518750356762,0.026258215208887065,0.13333333333333333,0.6666666666666666,0.39999999999999997
389,389.py,0.0,0.02169547848686038,0.07364881408787989,0.36363636363636365,0.625,0.4943181818181818
411,411.py,0.0,0.004451963616250483,0.02736989145562129,0.47619047619047616,0.8333333333333334,0.6547619047619048
413,413.py,0.0,0.0032630652888198785,0.02950234363196405,0.3,0.75,0.525
417,417.py,0.0,0.005389738117818599,0.01682845596488031,0.19444444444444445,0.6,0.3972222222222222
419,419.py,0.0,0.004188635776841715,0.048549177170732344,0.3333333333333333,0.5833333333333334,0.45833333333333337
422,422.py,0.0,0.07909412031954054,0.3286721974160022,0.2631578947368421,0.7857142857142857,0.5244360902255639
429,429.py,0.0,0.0058609033660640365,0.022401521369401368,0.26666666666666666,0.6666666666666666,0.4666666666666667
432,432.py,0.0,0.0065958005888164355,0.033183516807882445,0.3,0.7142857142857143,0.5071428571428571
444,444.py,0.0,0.009799721254889713,0.03403726027633586,0.35714285714285715,0.6470588235294118,0.5021008403361344
450,450.py,0.0,0.00572914229501893,0.022894156860669916,0.3076923076923077,0.7,0.5038461538461538
451,451.py,0.0,0.0045491487595968995,0.04576318980860576,0.15384615384615385,1.0,0.5769230769230769
452,452.py,0.0,0.008210456196938812,0.043949260370628775,0.6,0.875,0.7375
454,454.py,0.0,0.02818299888381893,0.0775692257967212,0.42105263157894735,0.7142857142857143,0.5676691729323309
455,455.py,0.0,0.0045491487595968995,0.012803722402787088,0.0,0.25,0.125
456,456.py,0.0,0.0038266073649123925,0.0322389403377945,0.3333333333333333,0.7142857142857143,0.5238095238095238
457,457.py,0.0,0.00410726430147258,0.0752421768074461,0.0,1.0,0.5
458,458.py,0.0,0.006414921514603761,0.07705654326501768,1.0,1.0,1.0
464,464.py,0.0,0.006893281774601134,0.02496593666055756,0.2857142857142857,0.5,0.39285714285714285
465,465.py,0.0,0.014577516118523641,0.039281465090051315,0.35294117647058826,0.36363636363636365,0.3582887700534759
473,473.py,0.0,0.002015745927086502,0.02062353272197709,0.36,0.6875,0.5237499999999999
474,474.py,0.0,0.0065958005888164355,0.04253665667561763,0.2,0.8888888888888888,0.5444444444444444
478,478.py,0.0,0.005355924989097696,0.039281465090051315,0.16666666666666666,1.0,0.5833333333333334
560,560.py,0.0,0.007087648989046159,0.03391326091030751,0.15384615384615385,0.75,0.4519230769230769
562,562.py,0.0,0.00506619280504146,0.02950234363196405,0.3333333333333333,0.75,0.5416666666666666
57,57.py,0.0,0.002191060724961435,0.014264965190603163,0.23076923076923078,0.2777777777777778,0.25427350427350426
572,572.py,0.0,0.006734719128165655,0.03585890753612134,0.25,0.6666666666666666,0.4583333333333333
573,573.py,0.0,0.013819585494830136,0.03835654723565782,0.5294117647058824,0.9166666666666666,0.7230392156862745
578,578.py,0.0,0.003196384942035394,0.021780088490962562,0.08333333333333333,0.7692307692307693,0.4262820512820513
581,581.py,0.0,0.006073248826686352,0.06267671821810655,0.2,1.0,0.6
584,584.py,0.0,0.010735425244914745,0.08528733595636034,0.6153846153846154,0.6923076923076923,0.6538461538461539
587,587.py,0.0,0.00956240657444202,0.04971987693433304,0.6666666666666666,1.0,0.8333333333333333
590,590.py,0.0,0.005599757876912195,0.024845032688066895,0.34782608695652173,0.5263157894736842,0.43707093821510296
595,595.py,0.0,0.008747796714959311,0.04812192790142018,0.3225806451612903,0.6875,0.5050403225806451
61,61.py,0.0,0.03623427738292831,0.045740186612782605,0.20408163265306123,0.37142857142857144,0.28775510204081634
612,612.py,0.0,0.0035177264276945075,0.0446323613785333,0.14285714285714285,0.7142857142857143,0.4285714285714286
615,615.py,0.0,0.0018998216633562212,0.027533580289873377,0.29411764705882354,0.6,0.44705882352941173
619,619.py,0.0,0.003341822291264821,0.014492065168336963,0.18518518518518517,0.625,0.40509259259259256
620,620.py,0.0,0.0034853800854348685,0.013777962881528263,0.2727272727272727,0.3111111111111111,0.2919191919191919
625,625.py,0.0,0.017205419571549176,0.07589098248857265,0.8095238095238095,0.4117647058823529,0.6106442577030813
627,627.py,0.0,0.0034930513235817257,0.018187597339521158,0.1111111111111111,0.20588235294117646,0.15849673202614378
629,629.py,0.0,0.01576090101000953,0.09985227134797103,0.2,0.6,0.4
64,64.py,0.0,0.005927305348705561,0.015593439508212383,0.46153846153846156,1.0,0.7307692307692308
69,69.py,0.0,0.0104052991241235,0.030651378951348587,0.19047619047619047,0.30952380952380953,0.25
71,71.py,0.0,0.017994346174675175,0.03804420330056526,0.6785714285714286,0.24444444444444444,0.46150793650793653
723,723.py,0.0,0.0033200591390201775,0.021500003802814183,0.07142857142857142,0.7,0.3857142857142857
725,725.py,0.0,0.016169476851355204,0.19355472730798323,0.3333333333333333,1.0,0.6666666666666666
728,728.py,0.0,0.005107786384598448,0.027533580289873377,0.5,0.75,0.625
733,733.py,0.0,0.015317855331218693,0.045086695051498996,0.6818181818181818,0.2647058823529412,0.4732620320855615
735,735.py,0.0,0.0011614468944481451,0.008133883206484924,0.22857142857142856,0.2608695652173913,0.24472049689440994
736,736.py,0.0,0.002157116667939802,0.02854848644329578,0.08333333333333333,0.8888888888888888,0.4861111111111111
743,743.py,0.0,0.002976434357169453,0.03391326091030751,0.7857142857142857,0.625,0.7053571428571428
746,746.py,0.0,0.031578841728059255,0.2995467457533671,0.5555555555555556,1.0,0.7777777777777778
748,748.py,0.0,0.0067177027389942,0.034503277967117725,0.25,1.0,0.625
766,766.py,0.0,0.006947404612776045,0.036039886757844274,0.41379310344827586,0.47619047619047616,0.44499178981937604
770,770.py,0.0,0.014232564072333252,0.02562730324996989,0.3076923076923077,0.2857142857142857,0.2967032967032967
773,773.py,0.0,0.0030744163116029,0.016153228406487214,0.12,0.5263157894736842,0.3231578947368421
776,776.py,0.0,0.011018367450914756,0.04079860407833709,0.4262295081967213,0.38461538461538464,0.40542244640605296
781,781.py,0.0,0.010860905115565481,0.03001354978591525,0.275,0.2916666666666667,0.2833333333333333
784,784.py,0.0,0.003341822291264821,0.016507767053857685,0.2222222222222222,0.2857142857142857,0.25396825396825395
788,788.py,0.0,0.006081389695809871,0.04971987693433304,0.0,1.0,0.5
791,791.py,0.0,0.008649065093680087,0.030556057163383953,0.20833333333333334,0.5714285714285714,0.3898809523809524
8,8.py,0.0,0.013618796864073041,0.02790159393585827,0.14285714285714285,0.6666666666666666,0.40476190476190477
801,801.py,0.0,0.004060359468269582,0.027984266231204664,0.0,0.7,0.35
802,802.py,0.0,0.0030364367958401876,0.0212328711514415,0.3684210526315789,0.45454545454545453,0.41148325358851673
803,803.py,0.0,0.00941475678741239,0.020068932752887545,0.23076923076923078,0.21428571428571427,0.22252747252747251
84,84.py,0.0,0.03463027795326104,0.2473022045536171,0.3076923076923077,1.0,0.6538461538461539
87,87.py,0.0,0.00578083904183164,0.025098621243978974,0.0625,0.6666666666666666,0.3645833333333333
93,93.py,0.0,0.003713479953254624,0.03643054431177436,0.13636363636363635,0.7272727272727273,0.4318181818181818
97,97.py,0.0,0.009485004800204488,0.01880458584505377,0.15151515151515152,0.5,0.32575757575757575
98,98.py,0.0,0.002118927073707725,0.02527232448799647,0.21428571428571427,0.8888888888888888,0.5515873015873015
