experiment,model,dataset,avg_codebleu,avg_syntax,avg_dataflow,total_samples,csv_file
EXP_1-1_MBPP_After_GEN_100,codegemma_exp1-1_after_gen_v1_100_mbpp,MBPP,0.8771347823667249,0.8628048144450912,0.8914647502883588,98,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_After_GEN_100_codegemma_exp1-1_after_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_1-1_MBPP_After_GEN_100,codegemma_exp1-1_after_gen_v2_100_mbpp,MBPP,0.8548932547411894,0.8207986536002574,0.8889878558821216,69,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_After_GEN_100_codegemma_exp1-1_after_gen_v2_100_mbpp_codebleu_ast_dataflow.csv
EXP_1-1_MBPP_After_GEN_100,gemini_exp1-1_after_gen_v1_100_mbpp,MBPP,0.9570954601119201,0.9477708879104106,0.9664200323134292,100,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_After_GEN_100_gemini_exp1-1_after_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_1-1_MBPP_After_GEN_100,gemini_exp1-1_after_gen_v2_100_mbpp,MBPP,0.9490370368791355,0.9367440596041748,0.961330014154096,92,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_After_GEN_100_gemini_exp1-1_after_gen_v2_100_mbpp_codebleu_ast_dataflow.csv
EXP_1-1_MBPP_After_GEN_100,qwen14_exp1-1_after_gen_v1_100_mbpp,MBPP,0.8467747265807261,0.8726825745661082,0.8208668785953439,100,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_After_GEN_100_qwen14_exp1-1_after_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_1-1_MBPP_After_GEN_100,qwen14_exp1-1_after_gen_v2_100_mbpp,MBPP,0.8628037743080508,0.8927486350578591,0.8328589135582429,100,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_After_GEN_100_qwen14_exp1-1_after_gen_v2_100_mbpp_codebleu_ast_dataflow.csv
EXP_1-1_MBPP_With_Comments_100,codegemma_exp1-1_during_gen_v5_100_mbpp,MBPP,0.42928852134460954,0.3190202267041926,0.5395568159850257,100,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_With_Comments_100_codegemma_exp1-1_during_gen_v5_100_mbpp_codebleu_ast_dataflow.csv
EXP_1-1_MBPP_With_Comments_100,codegemma_exp1-1_during_gen_v6_100_mbpp,MBPP,0.3999429256787952,0.2695685389881712,0.5303173123694185,100,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_With_Comments_100_codegemma_exp1-1_during_gen_v6_100_mbpp_codebleu_ast_dataflow.csv
EXP_1-1_MBPP_With_Comments_100,gemini_exp1-1_during_gen_v5_100_mbpp,MBPP,0.44757793035446825,0.2926864614432512,0.6024693992656852,96,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_With_Comments_100_gemini_exp1-1_during_gen_v5_100_mbpp_codebleu_ast_dataflow.csv
EXP_1-1_MBPP_With_Comments_100,gemini_exp1-1_during_gen_v6_100_mbpp,MBPP,0.4461397926821029,0.29524321728459535,0.5970363680796104,98,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_With_Comments_100_gemini_exp1-1_during_gen_v6_100_mbpp_codebleu_ast_dataflow.csv
EXP_1-1_MBPP_With_Comments_100,qwen14_exp1-1_during_gen_v5_100_mbpp,MBPP,0.46983558978344847,0.3437758523643786,0.5958953272025186,100,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_With_Comments_100_qwen14_exp1-1_during_gen_v5_100_mbpp_codebleu_ast_dataflow.csv
EXP_1-1_MBPP_With_Comments_100,qwen14_exp1-1_during_gen_v6_100_mbpp,MBPP,0.46824791017216016,0.3431129776165338,0.5933828427277864,100,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_With_Comments_100_qwen14_exp1-1_during_gen_v6_100_mbpp_codebleu_ast_dataflow.csv
EXP_1_MBPP_100,codegemma_exp1_dgen_v1_100,MBPP,0.41555047297196085,0.30015237714993687,0.5309485687939846,100,results/experiment_codebleu_ast_dataflow/EXP_1_MBPP_100_codegemma_exp1_dgen_v1_100_codebleu_ast_dataflow.csv
EXP_1_MBPP_100,codegemma_exp1_dgen_v2_100,MBPP,0.41555047297196085,0.30015237714993687,0.5309485687939846,100,results/experiment_codebleu_ast_dataflow/EXP_1_MBPP_100_codegemma_exp1_dgen_v2_100_codebleu_ast_dataflow.csv
