task_id,tests_passed,tests_failed,total_tests,pass_rate,all_passed,original_z_score,original_p_exact,original_p_unified,original_score,original_method_used,original_preferred_ratio,original_token_count,original_green_count,original_is_watermarked,original_unique_starts,generated_z_score,generated_p_exact,generated_p_unified,generated_score,generated_method_used,generated_preferred_ratio,generated_token_count,generated_green_count,generated_is_watermarked,generated_unique_starts
2,3,0,3,100.0,True,-0.7995900589021114,1.0,1.0,-0.0,binomial,0.0,1,0,False,n,0.3189410810774037,0.6279,0.6279,0.20210951694165108,binomial,0.5,2,1,False,dn
3,6,0,6,100.0,True,-0.20122923353138983,0.773019,0.773019,0.11180983144552044,binomial,0.3333333333333333,3,1,False,bo,-0.5740646576733108,0.8615415900000001,0.8615415900000001,0.064723752607681,binomial,0.25,4,1,False,blo
4,0,3,3,0.0,False,-1.3849306072454481,1.0,1.0,-0.0,binomial,0.0,3,0,False,mnx,-0.8118500245606641,0.8827756922164167,0.8827756922164167,0.05414963391729168,binomial,0.25,8,2,False,adlmnt
5,3,0,3,100.0,True,-0.5740646576733108,0.8615415900000001,0.8615415900000001,0.064723752607681,binomial,0.25,4,1,False,dnr,0.9627356985282516,0.30030836940000005,0.30030836940000005,0.5224325641260711,binomial,0.6,5,3,False,dlns
6,3,0,3,100.0,True,0.9841413506414587,0.27068694033420004,0.27068694033420004,0.5675326968619676,binomial,0.5714285714285714,7,4,False,cdmpsx,0.6378821621548074,0.3827973172052836,0.3827973172052836,0.41703111459170455,binomial,0.5,8,4,False,bcdglp
9,0,4,4,0.0,False,-1.5991801178042229,1.0,1.0,-0.0,binomial,0.0,4,0,False,nr,-0.8710465843827041,0.9155403699,0.9155403699,0.03832250112933953,binomial,0.2,5,1,False,cdlnr
11,3,0,3,100.0,True,-1.340601997330491,0.96857257163979,0.96857257163979,0.013867833610921754,binomial,0.14285714285714285,7,1,False,abijxy,1.8796268399837295,0.07958237040000002,0.07958237040000002,1.099183129322473,binomial,0.8,5,4,False,ab
13,4,0,4,100.0,True,0.3189410810774037,0.6279,0.6279,0.20210951694165108,binomial,0.5,2,1,False,ab,0.9824721401826685,0.337662,0.337662,0.47151781149636296,binomial,0.6666666666666666,3,2,False,abt
15,3,0,3,100.0,True,-1.130791105638068,1.0,1.0,-0.0,binomial,0.0,2,0,False,nx,-0.20122923353138983,0.773019,0.773019,0.11180983144552044,binomial,0.3333333333333333,3,1,False,din
19,5,0,5,100.0,True,-1.3849306072454481,1.0,1.0,-0.0,binomial,0.0,3,0,False,nvx,1.8796268399837295,0.07958237040000002,0.07958237040000002,1.099183129322473,binomial,0.8,5,4,False,dns
